NOME_MUNICIPIO,NUM_HABITANTES,ANO
Alta Floresta D'Oeste,25257,2000
Alto Alegre do Parecis,9770,2000
Alto Paraiso,12348,2000
Alvorada D'Oeste,18685,2000
Ariquemes,75098,2000
Buritis,12891,2000
Cabixi,7832,2000
Cacaulandia,4980,2000
Cacoal,75862,2000
Campo Novo de Rondonia,8846,2000
Candeias do Jamari,14076,2000
Castanheiras,4128,2000
Cerejeiras,18746,2000
Chupinguaia,4292,2000
Colorado do Oeste,23759,2000
Corumbiara,9668,2000
Costa Marques,11712,2000
Cujubim,4470,2000
Espigao D'Oeste,24842,2000
Governador Jorge Teixeira,12740,2000
Guajara-Mirim,40871,2000
Itapua do Oeste,5906,2000
Jaru,46814,2000
Ji-Parana,92728,2000
Machadinho D'Oeste,32517,2000
Ministro Andreazza,9839,2000
Mirante da Serra,14550,2000
Monte Negro,12873,2000
Nova Brasilandia D'Oeste,15103,2000
Nova Mamore,18057,2000
Nova Uniao,6371,2000
Novo Horizonte do Oeste,10187,2000
Ouro Preto do Oeste,40378,2000
Parecis,4115,2000
Pimenta Bueno,31659,2000
Pimenteiras do Oeste,2319,2000
Porto Velho,314525,2000
Presidente Medici,29322,2000
Primavera de Rondonia,4128,2000
Rio Crespo,3192,2000
Rolim de Moura,43628,2000
Santa Luzia D'Oeste,10356,2000
Sao Felipe D'Oeste,6657,2000
Sao Francisco do Guapore,7212,2000
Sao Miguel do Guapore,26565,2000
Seringueiras,10949,2000
Teixeiropolis,5153,2000
Theobroma,10039,2000
Urupa,16330,2000
Vale do Anari,8242,2000
Vale do Paraiso,9358,2000
Vilhena,47669,2000
Acrelandia,7115,2000
Assis Brasil,2919,2000
Brasileia,13922,2000
Bujari,5135,2000
Capixaba,3635,2000
Cruzeiro do Sul,64573,2000
Epitaciolandia,10704,2000
Feijo,26011,2000
Jordao,3440,2000
Mancio Lima,9457,2000
Manoel Urbano,6226,2000
Marechal Thaumaturgo,8651,2000
Placido de Castro,11852,2000
Porto Acre,7595,2000
Porto Walter,4559,2000
Rio Branco,269180,2000
Rodrigues Alves,10145,2000
Santa Rosa do Purus,2045,2000
Sena Madureira,22364,2000
Senador Guiomard,13688,2000
Tarauaca,23950,2000
Xapuri,14707,2000
Alvaraes,17710,2000
Amatura,7431,2000
Anama,7759,2000
Anori,11389,2000
Apui,14693,2000
Atalaia do Norte,8209,2000
Autazes,32425,2000
Barcelos,21400,2000
Barreirinha,23045,2000
Benjamin Constant,28339,2000
Beruri,10610,2000
Boa Vista do Ramos,9750,2000
Boca do Acre,20807,2000
Borba,30306,2000
Caapiranga,4743,2000
Canutama,5980,2000
Carauari,22421,2000
Careiro,12657,2000
Careiro da Varzea,11740,2000
Coari,67122,2000
Codajas,16295,2000
Eirunepe,29898,2000
Envira,19509,2000
Fonte Boa,26689,2000
Guajara,8632,2000
Humaita,21688,2000
Ipixuna,11976,2000
Iranduba,33496,2000
Itacoatiara,72008,2000
Itamarati,5747,2000
Itapiranga,7507,2000
Japura,4578,2000
Jurua,3527,2000
Jutai,23173,2000
Labrea,23407,2000
Manacapuru,72718,2000
Manaquiri,22161,2000
Manaus,1285841,2000
Manicore,32072,2000
Maraa,16127,2000
Maues,42486,2000
Nhamunda,15491,2000
Nova Olinda do Norte,22981,2000
Novo Airao,15697,2000
Novo Aripuana,16419,2000
Parintins,83021,2000
Pauini,19616,2000
Presidente Figueiredo,13121,2000
Rio Preto da Eva,12978,2000
Santa Isabel do Rio Negro,9560,2000
Santo Antonio do Ica,27624,2000
Sao Gabriel da Cachoeira,29931,2000
Sao Paulo de Olivenca,26395,2000
Sao Sebastiao do Uatuma,6678,2000
Silves,7937,2000
Tabatinga,35495,2000
Tapaua,13154,2000
Tefe,69435,2000
Tonantins,18722,2000
Uarini,14008,2000
Urucara,21748,2000
Urucurituba,13169,2000
Alto Alegre,16026,2000
Amajari,5146,2000
Boa Vista,171361,2000
Bonfim,7071,2000
Canta,9566,2000
Caracarai,10457,2000
Caroebe,4318,2000
Iracema,2885,2000
Mucajai,11151,2000
Normandia,6247,2000
Pacaraima,6431,2000
Rorainopolis,9023,2000
Sao Joao da Baliza,3629,2000
Sao Luiz,5360,2000
Uiramuta,4489,2000
Abaetetuba,112683,2000
Abel Figueiredo,5822,2000
Acara,64347,2000
Afua,27708,2000
agua Azul do Norte,28585,2000
Alenquer,40149,2000
Almeirim,38195,2000
Altamira,88146,2000
Anajas,16627,2000
Ananindeua,419754,2000
Anapu,9142,2000
Augusto Correa,26696,2000
Aurora do Para,17496,2000
Aveiro,17094,2000
Bagre,8804,2000
Baiao,20578,2000
Bannach,3118,2000
Barcarena,60708,2000
Belem,1200355,2000
Belterra,10329,2000
Benevides,35633,2000
Bom Jesus do Tocantins,9300,2000
Bonito,11531,2000
Braganca,88824,2000
Brasil Novo,15934,2000
Brejo Grande do Araguaia,6673,2000
Breu Branco,26787,2000
Breves,78903,2000
Bujaru,23867,2000
Cachoeira do Arari,22773,2000
Cachoeira do Piria,8527,2000
Cameta,93844,2000
Canaa dos Carajas,14110,2000
Capanema,56330,2000
Capitao Poco,38058,2000
Castanhal,130866,2000
Chaves,12497,2000
Colares,9509,2000
Conceicao do Araguaia,47245,2000
Concordia do Para,20911,2000
Cumaru do Norte,2910,2000
Curionopolis,21072,2000
Curralinho,19958,2000
Curua,7425,2000
Curuca,25842,2000
Dom Eliseu,48991,2000
Eldorado dos Carajas,24363,2000
Faro,7922,2000
Floresta do Araguaia,14441,2000
Garrafao do Norte,25890,2000
Goianesia do Para,27659,2000
Gurupa,22181,2000
Igarape-Acu,34420,2000
Igarape-Miri,52521,2000
Inhangapi,7776,2000
Ipixuna do Para,17456,2000
Irituia,25922,2000
Itaituba,102483,2000
Itupiranga,29654,2000
Jacareacanga,24197,2000
Jacunda,49934,2000
Juruti,29110,2000
Limoeiro do Ajuru,19177,2000
Mae do Rio,16203,2000
Magalhaes Barata,8469,2000
Maraba,173375,2000
Maracana,22355,2000
Marapanim,25043,2000
Marituba,62371,2000
Medicilandia,42127,2000
Melgaco,16252,2000
Mocajuba,18987,2000
Moju,50708,2000
Monte Alegre,52068,2000
Muana,24918,2000
Nova Esperanca do Piria,20965,2000
Nova Ipixuna,8877,2000
Nova Timboteua,17177,2000
Novo Progresso,20621,2000
Novo Repartimento,31925,2000
obidos,46530,2000
Oeiras do Para,24232,2000
Oriximina,44087,2000
Ourem,14769,2000
Ourilandia do Norte,13333,2000
Pacaja,19447,2000
Palestina do Para,6472,2000
Paragominas,69209,2000
Parauapebas,80515,2000
Pau D'Arco,6410,2000
Peixe-Boi,8023,2000
Picarra,8960,2000
Placas,10274,2000
Ponta de Pedras,18537,2000
Portel,38297,2000
Porto de Moz,32844,2000
Prainha,18961,2000
Primavera,9350,2000
Quatipuru,10764,2000
Redencao,64926,2000
Rio Maria,16105,2000
Rondon do Para,39552,2000
Ruropolis,27088,2000
Salinopolis,31888,2000
Salvaterra,15507,2000
Santa Barbara do Para,14472,2000
Santa Cruz do Arari,4983,2000
Santa Isabel do Para,44008,2000
Santa Luzia do Para,14745,2000
Santa Maria das Barreiras,12987,2000
Santa Maria do Para,22576,2000
Santana do Araguaia,27609,2000
Santarem,241461,2000
Santarem Novo,3720,2000
Santo Antonio do Taua,24108,2000
Sao Caetano de Odivelas,12436,2000
Sao Domingos do Araguaia,23833,2000
Sao Domingos do Capim,26857,2000
Sao Felix do Xingu,51913,2000
Sao Francisco do Para,8496,2000
Sao Geraldo do Araguaia,24414,2000
Sao Joao da Ponta,3083,2000
Sao Joao de Pirabas,17916,2000
Sao Joao do Araguaia,10170,2000
Sao Miguel do Guama,38115,2000
Sao Sebastiao da Boa Vista,16832,2000
Sapucaia,3940,2000
Senador Jose Porfirio,14727,2000
Soure,20444,2000
Tailandia,40429,2000
Terra Alta,8545,2000
Terra Santa,14855,2000
Tome-Acu,47306,2000
Tracuateua,18655,2000
Trairao,6047,2000
Tucuma,36705,2000
Tucurui,61596,2000
Ulianopolis,12154,2000
Uruara,47368,2000
Vigia,34245,2000
Viseu,49362,2000
Vitoria do Xingu,13076,2000
Xinguara,32383,2000
Amapa,6252,2000
Calcoene,6119,2000
Cutias,2281,2000
Ferreira Gomes,2828,2000
Itaubal,2781,2000
Laranjal do Jari,28996,2000
Macapa,267140,2000
Mazagao,13504,2000
Oiapoque,11962,2000
Pedra Branca do Amapari,4130,2000
Porto Grande,8760,2000
Pracuuba,1929,2000
Santana,85873,2000
Serra do Navio,3765,2000
Tartarugalzinho,4524,2000
Vitoria do Jari,7952,2000
Abreulandia,2020,2000
Aguiarnopolis,3023,2000
Alianca do Tocantins,6157,2000
Almas,7926,2000
Alvorada,9363,2000
Ananas,10816,2000
Angico,2197,2000
Aparecida do Rio Negro,4040,2000
Aragominas,4174,2000
Araguacema,4864,2000
Araguacu,9593,2000
Araguaina,118079,2000
Araguana,3675,2000
Araguatins,25170,2000
Arapoema,5758,2000
Arraias,11845,2000
Augustinopolis,21537,2000
Aurora do Tocantins,3017,2000
Axixa do Tocantins,9492,2000
Babaculandia,8588,2000
Bandeirantes do Tocantins,1956,2000
Barra do Ouro,3134,2000
Barrolandia,4331,2000
Bernardo Sayao,4459,2000
Bom Jesus do Tocantins,1818,2000
Brasilandia do Tocantins,1818,2000
Brejinho de Nazare,4531,2000
Buriti do Tocantins,7553,2000
Cachoeirinha,2263,2000
Campos Lindos,6617,2000
Cariri do Tocantins,1972,2000
Carmolandia,1284,2000
Carrasco Bonito,3415,2000
Caseara,4341,2000
Centenario,2415,2000
Chapada da Natividade,3360,2000
Chapada de Areia,926,2000
Colinas do Tocantins,27308,2000
Colmeia,9373,2000
Combinado,5029,2000
Conceicao do Tocantins,4868,2000
Couto de Magalhaes,4030,2000
Cristalandia,7792,2000
Crixas do Tocantins,1210,2000
Darcinopolis,4327,2000
Dianopolis,16605,2000
Divinopolis do Tocantins,5479,2000
Dois Irmaos do Tocantins,6640,2000
Duere,3874,2000
Esperantina,6706,2000
Fatima,3204,2000
Figueiropolis,6047,2000
Filadelfia,7362,2000
Formoso do Araguaia,20514,2000
Fortaleza do Tabocao,2768,2000
Goianorte,5103,2000
Goiatins,10771,2000
Guarai,19914,2000
Gurupi,72219,2000
Ipueiras,1175,2000
Itacaja,5756,2000
Itaguatins,7301,2000
Itapiratins,3759,2000
Itapora do Tocantins,2972,2000
Jau do Tocantins,3808,2000
Juarina,2976,2000
Lagoa da Confusao,6428,2000
Lagoa do Tocantins,3279,2000
Lajeado,1750,2000
Lavandeira,1035,2000
Lizarda,4022,2000
Luzinopolis,1764,2000
Marianopolis do Tocantins,2874,2000
Mateiros,1866,2000
Maurilandia do Tocantins,3408,2000
Miracema do Tocantins,15513,2000
Miranorte,10545,2000
Monte do Carmo,5255,2000
Monte Santo do Tocantins,1630,2000
Muricilandia,3367,2000
Natividade,9609,2000
Nazare,5500,2000
Nova Olinda,9734,2000
Nova Rosalandia,3979,2000
Novo Acordo,3548,2000
Novo Alegre,2045,2000
Novo Jardim,2517,2000
Oliveira de Fatima,697,2000
Palmas,133199,2000
Palmeirante,3891,2000
Palmeiras do Tocantins,4230,2000
Palmeiropolis,6500,2000
Paraiso do Tocantins,36800,2000
Parana,8226,2000
Pau D'Arco,6323,2000
Pedro Afonso,7601,2000
Peixe,7283,2000
Pequizeiro,3960,2000
Pindorama do Tocantins,4361,2000
Piraque,2235,2000
Pium,4992,2000
Ponte Alta do Bom Jesus,4360,2000
Ponte Alta do Tocantins,6731,2000
Porto Alegre do Tocantins,2717,2000
Porto Nacional,43292,2000
Praia Norte,5791,2000
Presidente Kennedy,4594,2000
Pugmil,1417,2000
Recursolandia,3653,2000
Riachinho,3448,2000
Rio da Conceicao,1296,2000
Rio dos Bois,2557,2000
Rio Sono,5740,2000
Sampaio,2256,2000
Sandolandia,4185,2000
Santa Fe do Araguaia,5192,2000
Santa Maria do Tocantins,2413,2000
Santa Rita do Tocantins,1508,2000
Santa Rosa do Tocantins,3706,2000
Santa Tereza do Tocantins,2699,2000
Santa Terezinha do Tocantins,2548,2000
Sao Bento do Tocantins,2260,2000
Sao Felix do Tocantins,1446,2000
Sao Miguel do Tocantins,9339,2000
Sao Salvador do Tocantins,1778,2000
Sao Sebastiao do Tocantins,4210,2000
Sao Valerio da Natividade,6235,2000
Silvanopolis,4372,2000
Sitio Novo do Tocantins,15644,2000
Sucupira,1039,2000
Taguatinga,15298,2000
Taipas do Tocantins,1373,2000
Talisma,1588,2000
Tocantinia,4543,2000
Tocantinopolis,20955,2000
Tupirama,1140,2000
Tupiratins,1448,2000
Wanderlandia,11464,2000
Xambioa,11467,2000
Acailandia,90900,2000
Afonso Cunha,4552,2000
agua Doce do Maranhao,10034,2000
Alcantara,17923,2000
Aldeias Altas,18095,2000
Altamira do Maranhao,5825,2000
Alto Alegre do Maranhao,16413,2000
Alto Alegre do Pindare,24656,2000
Alto Parnaiba,10666,2000
Amapa do Maranhao,4616,2000
Amarante do Maranhao,33158,2000
Anajatuba,20553,2000
Anapurus,10443,2000
Apicum-Acu,8717,2000
Araguana,10890,2000
Araioses,36289,2000
Arame,25763,2000
Arari,25586,2000
Axixa,10220,2000
Bacabal,94152,2000
Bacabeira,9838,2000
Bacuri,14261,2000
Bacurituba,4538,2000
Balsas,54377,2000
Barao de Grajau,15010,2000
Barra do Corda,70987,2000
Barreirinhas,39468,2000
Bela Vista do Maranhao,8156,2000
Belagua,6476,2000
Benedito Leite,6336,2000
Bequimao,20097,2000
Bernardo do Mearim,4230,2000
Boa Vista do Gurupi,3889,2000
Bom Jardim,38119,2000
Bom Jesus das Selvas,13507,2000
Bom Lugar,9963,2000
Brejo,26658,2000
Brejo de Areia,10202,2000
Buriti,27885,2000
Buriti Bravo,22193,2000
Buriticupu,33006,2000
Buritirana,10818,2000
Cachoeira Grande,6391,2000
Cajapio,8797,2000
Cajari,15017,2000
Campestre do Maranhao,10031,2000
Candido Mendes,16205,2000
Cantanhede,14308,2000
Capinzal do Norte,10265,2000
Carolina,29936,2000
Carutapera,17670,2000
Caxias,134042,2000
Cedral,8571,2000
Central do Maranhao,5612,2000
Centro do Guilherme,6053,2000
Centro Novo do Maranhao,13271,2000
Chapadinha,62391,2000
Cidelandia,10884,2000
Codo,102818,2000
Coelho Neto,43505,2000
Colinas,32232,2000
Conceicao do Lago-Acu,15361,2000
Coroata,55557,2000
Cururupu,24238,2000
Davinopolis,12812,2000
Dom Pedro,20295,2000
Duque Bacelar,9381,2000
Esperantinopolis,16757,2000
Estreito,21802,2000
Feira Nova do Maranhao,7036,2000
Fernando Falcao,4317,2000
Formosa da Serra Negra,8623,2000
Fortaleza dos Nogueiras,10700,2000
Fortuna,16150,2000
Godofredo Viana,9042,2000
Goncalves Dias,17165,2000
